merchant_text,amount,category,anomaly_flag,status
Apartment Rent Payment,11023,Rent,1,normal
Lifestyle Store,1518,Shopping,1,normal
Star Bazaar,729,Groceries,1,normal
NPS Contribution,12183,Investment,1,normal
SBI Life Insurance,4750,Investment,1,normal
LIC Premium,8831,Investment,1,normal
Money Sent to Mom,19808,Transfer,-1,UNUSUAL
Loan Repayment to Friend,11789,Transfer,1,normal
Physiotherapy Session,9571,Healthcare,1,normal
Haldiram's,6043,Food,1,normal
Metro Cash and Carry,5644,Groceries,1,normal
Toll Payment FASTag,16268,Travel,1,normal
KFC Order,5989,Food,1,normal
Mobile Bill Payment,14872,Bills,1,normal
PhonePe to Friend,1100,Transfer,1,normal
Vi Recharge,2263,Bills,1,normal
Mobile Bill Payment,3108,Bills,1,normal
Faasos Order,3456,Food,1,normal
DTH Recharge,3123,Bills,1,normal
Metro Card Recharge,11520,Travel,1,normal
IKEA Furniture,4229,Shopping,1,normal
Wow Momo,6363,Food,1,normal
Society Maintenance,4017,Bills,1,normal
NPS Contribution,5014,Investment,1,normal
Cult Fit Membership,16215,Healthcare,1,normal
Health Checkup Package,14277,Healthcare,1,normal
Vistara Airlines,17368,Travel,1,normal
Internet Bill Payment,4467,Bills,1,normal
Practo Consultation,18112,Healthcare,1,normal
Loan Repayment to Friend,4004,Transfer,1,normal
Milk Delivery,19821,Groceries,-1,UNUSUAL
House Rent NEFT,447,Rent,1,normal
Doctor Consultation Fee,10936,Healthcare,1,normal
KFC Order,16596,Food,1,normal
Vi Recharge,2101,Bills,1,normal
Redbus Ticket,6863,Travel,1,normal
Petrol Pump Payment,12567,Travel,1,normal
Electricity Board Bill,346,Bills,-1,UNUSUAL
Mobile Bill Payment,18559,Bills,1,normal
Zomato Delivery,13580,Food,1,normal
1mg Pharmacy,12177,Healthcare,1,normal
Netflix Subscription,19099,Entertainment,1,normal
House Rent NEFT,182,Rent,-1,UNUSUAL
Jio Recharge,3778,Bills,1,normal
GPay Transfer,9279,Transfer,1,normal
Croma Electronics,11571,Shopping,1,normal
Star Bazaar,15855,Groceries,1,normal
LIC Premium,16003,Investment,1,normal
Domino's Pizza,15981,Food,1,normal
Jio Recharge,5639,Bills,1,normal
Food Court Payment,17794,Food,1,normal
Internet Bill Payment,14357,Bills,1,normal
Physiotherapy Session,6712,Healthcare,1,normal
PG Rent Payment,12230,Rent,1,normal
House Rent NEFT,19880,Rent,-1,UNUSUAL
GPay Transfer,7408,Transfer,1,normal
Toll Payment FASTag,5895,Travel,1,normal
Concert Ticket Booking,4877,Entertainment,1,normal
BookMyShow Tickets,5291,Entertainment,1,normal
Dental Clinic Payment,15226,Healthcare,1,normal
Flat Rent Transfer,12361,Rent,1,normal
Physiotherapy Session,17878,Healthcare,1,normal
Wallet Top-up,3529,Transfer,1,normal
Pantaloons Purchase,13078,Shopping,1,normal
Airtel Postpaid,11353,Bills,1,normal
Diagnostic Lab Test,18716,Healthcare,1,normal
JioMart Grocery,724,Groceries,1,normal
Lifestyle Store,18941,Shopping,1,normal
JioMart Grocery,10903,Groceries,1,normal
Tata Sky Recharge,15571,Bills,1,normal
PPF Deposit,7137,Investment,1,normal
Water Board Payment,2818,Bills,1,normal
Gas Cylinder Booking,12567,Bills,1,normal
Loan Repayment to Friend,285,Transfer,-1,UNUSUAL
1mg Pharmacy,18692,Healthcare,1,normal
Paytm Wallet Load,3595,Transfer,1,normal
Stock Market Purchase,16561,Investment,1,normal
Croma Electronics,1356,Shopping,1,normal
Split Bill Payment,18147,Transfer,1,normal
Petrol Pump Payment,19922,Travel,-1,UNUSUAL
Vegetable Vendor Payment,7507,Groceries,1,normal
PG Rent Payment,3601,Rent,1,normal
Paytm Wallet Load,2149,Transfer,1,normal
House Rent NEFT,18419,Rent,1,normal
Cab Booking Meru,6924,Travel,1,normal
Decathlon Sports,1074,Shopping,1,normal
Concert Ticket Booking,11100,Entertainment,1,normal
Ola Auto,12836,Travel,1,normal
Apollo Pharmacy,15551,Healthcare,1,normal
JioMart Grocery,7339,Groceries,1,normal
Cult Fit Membership,8762,Healthcare,1,normal
IRCTC Railways,9716,Travel,1,normal
Domino's Pizza,16595,Food,1,normal
DTH Recharge,16858,Bills,1,normal
Burger King,16665,Food,1,normal
Diesel Fuel Station,13294,Travel,1,normal
Hospital Bill Payment,2831,Healthcare,1,normal
PhonePe to Friend,3377,Transfer,1,normal
NPS Contribution,4065,Investment,1,normal
Society Maintenance,10163,Bills,1,normal
Doctor Consultation Fee,15107,Healthcare,1,normal
Hotstar Subscription,15447,Entertainment,1,normal
Spotify Premium,16876,Entertainment,1,normal
Groww Investment,17177,Investment,1,normal
Cult Fit Membership,6199,Healthcare,1,normal
PPF Deposit,3462,Investment,1,normal
Petrol Pump Payment,19253,Travel,-1,UNUSUAL
Swiggy Order,4776,Food,1,normal
NPS Contribution,8926,Investment,1,normal
KFC Order,19314,Food,-1,UNUSUAL
Concert Ticket Booking,4811,Entertainment,1,normal
BSNL Bill,16236,Bills,1,normal
Behrouz Biryani,1905,Food,1,normal
Jio Recharge,12773,Bills,1,normal
Hotstar Subscription,19005,Entertainment,1,normal
INOX Movies,17846,Entertainment,1,normal
Dental Clinic Payment,7685,Healthcare,1,normal
Money Sent to Mom,4775,Transfer,1,normal
Rental Agreement Payment,17773,Rent,1,normal
House Rent NEFT,3036,Rent,1,normal
Starbucks Coffee,8261,Food,1,normal
Milk Delivery,8130,Groceries,1,normal
Chai Point,4577,Food,1,normal
Diagnostic Lab Test,9703,Healthcare,1,normal
Rent Payment Landlord,9350,Rent,1,normal
Gold ETF Purchase,11686,Investment,1,normal
Money Sent to Mom,1851,Transfer,1,normal
Lifestyle Store,1528,Shopping,1,normal
Cab Booking Meru,1792,Travel,1,normal
Diesel Fuel Station,575,Travel,1,normal
Grocery Store Bill,2911,Groceries,1,normal
Bowling Alley Payment,994,Entertainment,1,normal
Practo Consultation,4080,Healthcare,1,normal
Airport Cab,12806,Travel,1,normal
Gaming Purchase,18124,Entertainment,1,normal
IMPS Transfer,10676,Transfer,1,normal
PhonePe to Friend,10240,Transfer,1,normal
Baskin Robbins,15842,Food,1,normal
Rental Agreement Payment,10888,Rent,1,normal
JioMart Grocery,7099,Groceries,1,normal
Rental Agreement Payment,4893,Rent,1,normal
Gaming Purchase,6263,Entertainment,1,normal
