merchant_text,amount,category
Apartment Rent Payment,11023,Rent
Lifestyle Store,1518,Shopping
Star Bazaar,729,Groceries
NPS Contribution,12183,Investment
SBI Life Insurance,4750,Investment
LIC Premium,8831,Investment
Money Sent to Mom,19808,Transfer
Loan Repayment to Friend,11789,Transfer
Physiotherapy Session,9571,Healthcare
Haldiram's,6043,Food
Metro Cash and Carry,5644,Groceries
Toll Payment FASTag,16268,Travel
KFC Order,5989,Food
Mobile Bill Payment,14872,Bills
PhonePe to Friend,1100,Transfer
Vi Recharge,2263,Bills
Mobile Bill Payment,3108,Bills
Faasos Order,3456,Food
DTH Recharge,3123,Bills
Metro Card Recharge,11520,Travel
IKEA Furniture,4229,Shopping
Wow Momo,6363,Food
Society Maintenance,4017,Bills
NPS Contribution,5014,Investment
Cult Fit Membership,16215,Healthcare
Health Checkup Package,14277,Healthcare
Vistara Airlines,17368,Travel
Internet Bill Payment,4467,Bills
Practo Consultation,18112,Healthcare
Loan Repayment to Friend,4004,Transfer
Milk Delivery,19821,Groceries
House Rent NEFT,447,Rent
Doctor Consultation Fee,10936,Healthcare
KFC Order,16596,Food
Vi Recharge,2101,Bills
Redbus Ticket,6863,Travel
Petrol Pump Payment,12567,Travel
Electricity Board Bill,346,Bills
Mobile Bill Payment,18559,Bills
Zomato Delivery,13580,Food
1mg Pharmacy,12177,Healthcare
Netflix Subscription,19099,Entertainment
House Rent NEFT,182,Rent
Jio Recharge,3778,Bills
GPay Transfer,9279,Transfer
Croma Electronics,11571,Shopping
Star Bazaar,15855,Groceries
LIC Premium,16003,Investment
Domino's Pizza,15981,Food
Jio Recharge,5639,Bills
Food Court Payment,17794,Food
Internet Bill Payment,14357,Bills
Physiotherapy Session,6712,Healthcare
PG Rent Payment,12230,Rent
House Rent NEFT,19880,Rent
GPay Transfer,7408,Transfer
Toll Payment FASTag,5895,Travel
Concert Ticket Booking,4877,Entertainment
BookMyShow Tickets,5291,Entertainment
Dental Clinic Payment,15226,Healthcare
Flat Rent Transfer,12361,Rent
Physiotherapy Session,17878,Healthcare
Wallet Top-up,3529,Transfer
Pantaloons Purchase,13078,Shopping
Airtel Postpaid,11353,Bills
Diagnostic Lab Test,18716,Healthcare
JioMart Grocery,724,Groceries
Lifestyle Store,18941,Shopping
JioMart Grocery,10903,Groceries
Tata Sky Recharge,15571,Bills
PPF Deposit,7137,Investment
Water Board Payment,2818,Bills
Gas Cylinder Booking,12567,Bills
Loan Repayment to Friend,285,Transfer
1mg Pharmacy,18692,Healthcare
Paytm Wallet Load,3595,Transfer
Stock Market Purchase,16561,Investment
Croma Electronics,1356,Shopping
Split Bill Payment,18147,Transfer
Petrol Pump Payment,19922,Travel
Vegetable Vendor Payment,7507,Groceries
PG Rent Payment,3601,Rent
Paytm Wallet Load,2149,Transfer
House Rent NEFT,18419,Rent
Cab Booking Meru,6924,Travel
Decathlon Sports,1074,Shopping
Concert Ticket Booking,11100,Entertainment
Ola Auto,12836,Travel
Apollo Pharmacy,15551,Healthcare
JioMart Grocery,7339,Groceries
Cult Fit Membership,8762,Healthcare
IRCTC Railways,9716,Travel
Domino's Pizza,16595,Food
DTH Recharge,16858,Bills
Burger King,16665,Food
